module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;
binary;convolve_baseline;sobel.c:52-59;58.64;9.95;;;;
binary;sobel_baseline;sobel.c:63-86;33.62;5.71;;;;
binary;grayscale_weighted;sobel.c:17-31;3.95;0.67;;;;
kernel;copy_user_enhanced_fast_string;;1.42;0.24;;;;
kernel;iov_iter_fault_in_readable;;0.17;0.03;;;;
kernel;__block_commit_write.isra.39;;0.11;0.02;;;;
kernel;__list_del_entry_valid;;0.09;0.02;;;;
kernel;get_page_from_freelist;;0.08;0.01;;;;
kernel;find_get_entry;;0.07;0.01;;;;
kernel;kmem_cache_alloc;;0.06;0.01;;;;
kernel;ext4_mark_iloc_dirty;;0.06;0.01;;;;
kernel;xas_load;;0.06;0.01;;;;
kernel;start_this_handle;;0.05;0.01;;;;
kernel;_raw_spin_lock;;0.05;0.01;;;;
kernel;node_dirty_ok;;0.05;0.01;;;;
kernel;try_charge;;0.04;0.01;;;;
kernel;crc32c_pcl_intel_update;;0.04;0.01;;;;
kernel;create_empty_buffers;;0.04;0.01;;;;
kernel;ext4_da_write_begin;;0.03;0.01;;;;
kernel;ext4_da_get_block_prep;;0.03;0.01;;;;
kernel;__ext4_get_inode_loc;;0.03;0.01;;;;
kernel;__mod_lruvec_state;;0.03;0.01;;;;
kernel;jbd2_journal_stop;;0.02;0;;;;
kernel;memset_erms;;0.02;0;;;;
kernel;xas_start;;0.02;0;;;;
kernel;crypto_shash_update;;0.02;0;;;;
kernel;memcg_kmem_get_cache;;0.02;0;;;;
kernel;__mod_memcg_state.part.54;;0.02;0;;;;
kernel;prep_new_page;;0.02;0;;;;
kernel;workingset_refault;;0.02;0;;;;
kernel;__mod_node_page_state;;0.02;0;;;;
kernel;__pagevec_lru_add_fn;;0.02;0;;;;
kernel;release_pages;;0.02;0;;;;
kernel;account_page_dirtied;;0.02;0;;;;
kernel;generic_file_read_iter;;0.02;0;;;;
kernel;__add_to_page_cache_locked;;0.02;0;;;;
kernel;unlock_page;;0.02;0;;;;
kernel;ext4_mpage_readpages;;0.02;0;;;;
kernel;ext4_inode_csum.isra.62;;0.02;0;;;;
kernel;_raw_spin_lock_irq;;0.02;0;;;;
kernel;_raw_read_lock;;0.02;0;;;;
kernel;_raw_spin_lock_irqsave;;0.02;0;;;;
kernel;xas_create;;0.02;0;;;;
kernel;xas_set_mark;;0.02;0;;;;
kernel;percpu_counter_add_batch;;0.02;0;;;;
kernel;mark_buffer_dirty;;0.02;0;;;;
kernel;mem_cgroup_try_charge;;0.02;0;;;;
kernel;get_mem_cgroup_from_mm;;0.02;0;;;;
kernel;__inc_node_state;;0.02;0;;;;
kernel;mark_page_accessed;;0.02;0;;;;
kernel;map_id_up;;0.02;0;;;;
kernel;ext4_da_write_end;;0.01;0;;;;
kernel;ext4_block_write_begin;;0.01;0;;;;
kernel;ext4_es_lookup_extent;;0.01;0;;;;
kernel;__es_insert_extent;;0.01;0;;;;
kernel;__ext4_journal_get_write_access;;0.01;0;;;;
kernel;jbd2_journal_dirty_metadata;;0.01;0;;;;
kernel;jbd2__journal_start;;0.01;0;;;;
kernel;jbd2_write_access_granted.part.10;;0.01;0;;;;
kernel;apic_timer_interrupt;;0.01;0;;;;
kernel;down_read;;0.01;0;;;;
kernel;xas_store;;0.01;0;;;;
kernel;pfn_to_dma_pte;;0.01;0;;;;
kernel;copy_page_to_iter;;0.01;0;;;;
kernel;iov_iter_advance;;0.01;0;;;;
kernel;copyin;;0.01;0;;;;
kernel;generic_write_end;;0.01;0;;;;
kernel;__find_get_block;;0.01;0;;;;
kernel;__count_memcg_events.part.55;;0.01;0;;;;
kernel;new_slab;;0.01;0;;;;
kernel;alloc_pages_current;;0.01;0;;;;
kernel;__alloc_pages_nodemask;;0.01;0;;;;
kernel;lruvec_lru_size;;0.01;0;;;;
kernel;rcu_all_qs;;0.01;0;;;;
kernel;ext4_da_reserve_space;;0.01;0;;;;
kernel;__es_tree_search.isra.14;;0.01;0;;;;
kernel;__ext4_journal_stop;;0.01;0;;;;
kernel;ext4_journal_check_start;;0.01;0;;;;
kernel;ext4_claim_free_clusters;;0.01;0;;;;
kernel;ext4_get_group_desc;;0.01;0;;;;
kernel;ext4_has_free_clusters;;0.01;0;;;;
kernel;nvme_map_data;;0.01;0;;;;
kernel;nvme_submit_cmd;;0.01;0;;;;
kernel;add_transaction_credits;;0.01;0;;;;
kernel;__softirqentry_text_start;;0.01;0;;;;
kernel;smp_apic_timer_interrupt;;0.01;0;;;;
kernel;interrupt_entry;;0.01;0;;;;
kernel;_cond_resched;;0.01;0;;;;
kernel;__xa_set_mark;;0.01;0;;;;
kernel;rb_insert_color;;0.01;0;;;;
kernel;queue_iova;;0.01;0;;;;
kernel;get_random_u32;;0.01;0;;;;
kernel;find_next_zero_bit;;0.01;0;;;;
kernel;iov_iter_copy_from_user_atomic;;0.01;0;;;;
kernel;lockref_get_not_zero;;0.01;0;;;;
kernel;blk_queue_split;;0.01;0;;;;
kernel;bio_add_page;;0.01;0;;;;
kernel;inode_reserved_space;;0.01;0;;;;
kernel;fsnotify;;0.01;0;;;;
kernel;block_write_end;;0.01;0;;;;
kernel;__getblk_gfp;;0.01;0;;;;
kernel;__brelse;;0.01;0;;;;
kernel;__mark_inode_dirty;;0.01;0;;;;
kernel;__fget_light;;0.01;0;;;;
kernel;touch_atime;;0.01;0;;;;
kernel;atime_needs_update;;0.01;0;;;;
kernel;mem_cgroup_page_lruvec;;0.01;0;;;;
kernel;memcg_check_events;;0.01;0;;;;
kernel;lock_page_memcg;;0.01;0;;;;
kernel;kmem_cache_free;;0.01;0;;;;
kernel;__kmalloc;;0.01;0;;;;
kernel;___slab_alloc;;0.01;0;;;;
kernel;get_partial_node.isra.72.part.73;;0.01;0;;;;
kernel;kernel_poison_pages;;0.01;0;;;;
kernel;PageHuge;;0.01;0;;;;
kernel;__zone_watermark_ok;;0.01;0;;;;
kernel;free_unref_page_list;;0.01;0;;;;
kernel;handle_mm_fault;;0.01;0;;;;
kernel;node_page_state;;0.01;0;;;;
kernel;__inc_numa_state;;0.01;0;;;;
kernel;__inc_node_page_state;;0.01;0;;;;
kernel;__inc_zone_state;;0.01;0;;;;
kernel;__mod_zone_page_state;;0.01;0;;;;
kernel;page_mapping;;0.01;0;;;;
kernel;page_evictable;;0.01;0;;;;
kernel;__lru_cache_add;;0.01;0;;;;
kernel;pagevec_lru_move_fn;;0.01;0;;;;
kernel;__do_page_cache_readahead;;0.01;0;;;;
kernel;balance_dirty_pages_ratelimited;;0.01;0;;;;
kernel;pagecache_get_page;;0.01;0;;;;
kernel;add_to_page_cache_lru;;0.01;0;;;;
kernel;__cgroup_account_cputime_field;;0.01;0;;;;
kernel;run_timer_softirq;;0.01;0;;;;
kernel;rcu_sched_clock_irq;;0.01;0;;;;
kernel;up_read;;0.01;0;;;;
kernel;psi_task_change;;0.01;0;;;;
kernel;__wake_up_common_lock;;0.01;0;;;;
kernel;account_entity_dequeue;;0.01;0;;;;
kernel;cpu_load_update;;0.01;0;;;;
kernel;idle_cpu;;0.01;0;;;;
kernel;native_read_msr;;0.01;0;;;;
kernel;native_write_msr_safe;;0.01;0;;;;
kernel;native_apic_msr_eoi_write;;0.01;0;;;;
libc-2.29.so;_IO_fwrite;;0.01;0;;;;
libc-2.29.so;psiginfo;;0.01;0;;;;
